# 审计领域专用词典 - jieba 自定义词典
# 格式: 词语 词频 词性
# 分类: 会计科目 / 审计准则术语 / 监管机构 / 审计程序术语
# ─── 会计科目名称 ─────────────────────────────────────────────────────────────
应收账款 5 n
应收票据 5 n
应收股利 5 n
应收利息 5 n
其他应收款 5 n
预付款项 5 n
预付账款 5 n
应收款项融资 5 n
合同资产 5 n
合同负债 5 n
存货 5 n
库存商品 5 n
原材料 5 n
在产品 99999 n
委托加工物资 5 n
周转材料 5 n
发出商品 5 n
存货跌价准备 5 n
固定资产 5 n
在建工程 5 n
工程物资 5 n
固定资产清理 5 n
累计折旧 5 n
无形资产 5 n
累计摊销 5 n
开发支出 5 n
商誉 5 n
长期待摊费用 5 n
递延所得税资产 5 n
递延所得税负债 5 n
长期股权投资 5 n
其他权益工具投资 5 n
其他债权投资 5 n
交易性金融资产 5 n
衍生金融资产 5 n
持有至到期投资 5 n
可供出售金融资产 5 n
投资性房地产 5 n
使用权资产 5 n
生产性生物资产 5 n
油气资产 5 n
短期借款 5 n
长期借款 5 n
应付账款 5 n
应付票据 5 n
预收款项 5 n
合同负债 5 n
应付职工薪酬 5 n
应交税费 5 n
应付利息 5 n
应付股利 5 n
其他应付款 5 n
长期应付款 5 n
预计负债 5 n
递延收益 5 n
租赁负债 5 n
其他流动负债 5 n
其他非流动负债 5 n
长期应付职工薪酬 5 n
实收资本 5 n
股本 5 n
资本公积 5 n
其他综合收益 5 n
盈余公积 5 n
未分配利润 5 n
库存股 5 n
少数股东权益 5 n
营业收入 5 n
主营业务收入 5 n
其他业务收入 5 n
营业成本 5 n
主营业务成本 5 n
其他业务成本 5 n
税金及附加 5 n
销售费用 5 n
管理费用 5 n
财务费用 5 n
研发费用 5 n
资产减值损失 5 n
信用减值损失 5 n
公允价值变动损益 5 n
投资收益 5 n
其他收益 5 n
营业外收入 5 n
营业外支出 5 n
所得税费用 5 n
净利润 5 n
综合收益总额 5 n
每股收益 5 n
基本每股收益 5 n
稀释每股收益 5 n
持有待售资产 5 n
持有待售负债 5 n
一年内到期的非流动资产 5 n
一年内到期的非流动负债 5 n
货币资金 5 n
银行存款 5 n
现金及现金等价物 5 n
应收保证金 5 n
应付保证金 5 n
坏账准备 5 n
资产减值准备 5 n
固定资产减值准备 5 n
无形资产减值准备 5 n
长期股权投资减值准备 5 n
在建工程减值准备 5 n
商誉减值准备 5 n
生物资产减值准备 5 n
投资性房地产减值准备 5 n
债权投资减值准备 5 n
合同取得成本 5 n
合同履约成本 5 n
待摊费用 5 n
预提费用 5 n
应收补贴款 5 n
拨备 5 n
专项储备 5 n
一般风险准备 5 n
外币报表折算差额 5 n
套期储备 5 n
应收融资租赁款 5 n
融资租赁应收款 5 n
应收经营租赁款 5 n
长期应收款 5 n
长期股权投资 5 n
权益法 5 n
成本法 5 n
可转换公司债券 5 n
永续债 5 n
优先股 5 n
衍生金融负债 5 n
以公允价值计量且其变动计入当期损益的金融资产 5 n
以公允价值计量且其变动计入其他综合收益的金融资产 5 n
以摊余成本计量的金融资产 5 n
金融资产转移 5 n
套期工具 5 n
被套期项目 5 n
递延所得税 5 n
当期所得税 5 n
暂时性差异 5 n
可抵扣暂时性差异 5 n
应纳税暂时性差异 5 n
所得税费用 5 n
利润分配 5 n
