# is_mock=true
# Sprint B.0.7 — 合并↔单体章节映射（简化版，等 P-5 真数据）
# section_id: 单体附注章节 ID
# consol_section_id: 合并附注对应章节 ID
# aggregation_method: 聚合方式
# elimination_rule: 抵销规则（空=无抵销）
section_id,consol_section_id,aggregation_method,elimination_rule
section_cash,consol_section_cash,simple_sum,
section_ar_summary,consol_section_ar_summary,sum_after_elimination,internal_ar
section_ar_top5,consol_section_ar_top5,top_n_after_elimination,internal_ar
section_ar_aging,consol_section_ar_aging,simple_sum,internal_ar
section_prepayment,consol_section_prepayment,sum_after_elimination,internal_ar
section_other_receivable,consol_section_other_receivable,sum_after_elimination,internal_ar
section_inventory,consol_section_inventory,sum_after_elimination,internal_inventory_unrealized
section_fixed_assets,consol_section_fixed_assets,simple_sum,
section_construction_in_progress,consol_section_cip,simple_sum,
section_intangible_assets,consol_section_intangible_assets,simple_sum,
section_long_term_equity,consol_section_lt_equity,weighted_avg,internal_dividend
section_investment_property,consol_section_inv_property,simple_sum,
section_short_term_borrowing,consol_section_st_borrowing,simple_sum,
section_ap_summary,consol_section_ap_summary,sum_after_elimination,internal_ar
section_revenue,consol_section_revenue,sum_after_elimination,internal_revenue
section_cost_of_sales,consol_section_cost_of_sales,sum_after_elimination,internal_revenue
section_admin_expense,consol_section_admin_expense,simple_sum,
section_finance_expense,consol_section_finance_expense,simple_sum,
section_tax_expense,consol_section_tax_expense,simple_sum,
section_employee_compensation,consol_section_employee,simple_sum,
section_related_party_transactions,consol_section_rpt,first_n_concat,
section_contingent_liabilities,consol_section_contingent,first_n_concat,
section_subsequent_events,consol_section_subsequent,first_n_concat,
